Market,GuestArrivals,MedianValue2019,MedianValue2000,PCTValueChange2000_2019,PropertyCrimePer100k
Traverse City,15348,302790,123800,145,681
Detroit,13966,58900,62800,-6,6235
Ann Arbor,8665,370100,178500,107,1595
Grand Rapids,5541,168300,91100,85,2643
Holland,5298,173782,104800,66,983
South Haven,4531,240333,123200,95,678
Marquette,3961,183881,85500,115,1007
New Buffalo,3539,232279,108300,114,367
Saugatuck,3207,481236,193900,148,586
Grand Haven,2654,184923,106000,74,983
Bellaire,2628,120220,90800,32,1109
Harbor Springs,2273,268032,127600,110,428
Village of Douglas,2004,362271,151200,140,586
Charlevoix,1950,183724,114800,60,398
Kalamazoo,1732,122000,80700,51,3940
Petoskey,1579,193797,123100,57,428
Spring Lake,1421,190092,107300,77,983
Frankfort,1406,205294,101500,102,622
Suttons Bay,1402,400186,147700,171,268
Muskegon,1396,81173,60200,35,333
